Rooms,Type,Price,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
2,h,,2.5,1,1,126,,,Yarra City Council,Northern Metropolitan,4019
2,h,1480000,2.5,1,1,202,,,Yarra City Council,Northern Metropolitan,4019
2,h,1035000,2.5,1,0,156,79,1900,Yarra City Council,Northern Metropolitan,4019
3,u,,2.5,2,1,0,,,Yarra City Council,Northern Metropolitan,4019
3,h,1465000,2.5,2,0,134,150,1900,Yarra City Council,Northern Metropolitan,4019
3,h,850000,2.5,2,1,94,,,Yarra City Council,Northern Metropolitan,4019
4,h,1600000,2.5,1,2,120,142,2014,Yarra City Council,Northern Metropolitan,4019
4,h,,2.5,2,2,400,220,2006,Yarra City Council,Northern Metropolitan,4019
2,h,,2.5,1,2,201,,1900,Yarra City Council,Northern Metropolitan,4019
2,h,,2.5,2,1,202,,1900,Yarra City Council,Northern Metropolitan,4019
2,h,941000,2.5,1,0,181,,,Yarra City Council,Northern Metropolitan,4019
3,h,1876000,2.5,2,0,245,210,1910,Yarra City Council,Northern Metropolitan,4019
2,u,,2.5,2,1,4292,82,2009,Yarra City Council,Northern Metropolitan,4019
4,h,,2.5,2,0,230,147,1860,Yarra City Council,Northern Metropolitan,4019
2,h,1636000,2.5,1,2,256,107,1890,Yarra City Council,Northern Metropolitan,4019
3,h,1000000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
2,t,745000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
1,u,300000,2.5,1,1,0,,,Yarra City Council,Northern Metropolitan,4019
2,h,1097000,2.5,1,2,220,75,1900,Yarra City Council,Northern Metropolitan,4019
2,u,542000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
2,h,,2.5,1,1,176,80,1925,Yarra City Council,Northern Metropolitan,4019
2,u,760000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
1,u,481000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
2,u,700000,2.5,2,1,0,,,Yarra City Council,Northern Metropolitan,4019
3,h,1350000,2.5,2,2,214,190,2005,Yarra City Council,Northern Metropolitan,4019
2,u,750000,2.5,2,1,0,94,2009,Yarra City Council,Northern Metropolitan,4019
4,h,1985000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
1,u,500000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
2,h,1172500,2.5,1,1,195,,,Yarra City Council,Northern Metropolitan,4019
1,u,441000,2.5,1,1,0,,,Yarra City Council,Northern Metropolitan,4019
2,h,1310000,2.5,1,2,238,97,1890,Yarra City Council,Northern Metropolitan,4019
3,u,,2.5,2,2,0,129,2010,Yarra City Council,Northern Metropolitan,4019
3,h,1200000,2.5,2,1,113,110,1880,Yarra City Council,Northern Metropolitan,4019
2,t,847000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
2,h,,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
3,h,1176500,2.5,1,1,138,105,1890,Yarra City Council,Northern Metropolitan,4019
3,h,955000,2.5,1,0,183,,,Yarra City Council,Northern Metropolitan,4019
2,h,890000,2.5,1,1,150,73,1985,Yarra City Council,Northern Metropolitan,4019
4,h,1330000,2.5,2,2,780,135,1900,Yarra City Council,Northern Metropolitan,4019
3,h,,2.5,2,1,119,167,2005,Yarra City Council,Northern Metropolitan,4019
3,t,900000,2.5,2,2,0,,2010,Yarra City Council,Northern Metropolitan,4019
3,u,1090000,2.5,2,2,4290,27,,Yarra City Council,Northern Metropolitan,4019
2,u,500000,2.5,1,1,0,60,1970,Yarra City Council,Northern Metropolitan,4019
2,h,1100000,2.5,2,1,124,135,2013,Yarra City Council,Northern Metropolitan,4019
2,h,1315000,2.5,1,0,147,85,1900,Yarra City Council,Northern Metropolitan,4019
1,u,480000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
1,u,423500,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
4,h,,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
1,u,426000,2.5,1,1,0,,,Yarra City Council,Northern Metropolitan,4019
3,h,1447500,2.5,3,1,166,174,2012,Yarra City Council,Northern Metropolitan,4019
1,u,457000,2.5,1,1,0,50,,Yarra City Council,Northern Metropolitan,4019
2,h,1135000,2.5,2,2,98,128,1920,Yarra City Council,Northern Metropolitan,4019
2,h,700000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
4,h,1542000,2.5,3,1,0,,,Yarra City Council,Northern Metropolitan,4019
3,t,962000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
3,h,1290000,2.5,2,2,147,18,,Yarra City Council,Northern Metropolitan,4019
3,h,1290000,2.5,1,1,168,124,1950,Yarra City Council,Northern Metropolitan,4019
1,u,470000,2.5,1,1,0,50,2013,Yarra City Council,Northern Metropolitan,4019
2,h,1180000,2.5,1,0,162,91,1900,Yarra City Council,Northern Metropolitan,4019
3,h,1195000,2.5,2,1,120,128,1998,Yarra City Council,Northern Metropolitan,4019
2,u,,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
2,h,1012500,2.5,1,0,182,82,1900,Yarra City Council,Northern Metropolitan,4019
2,u,970000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
2,h,1030000,2.5,1,1,172,81,1930,Yarra City Council,Northern Metropolitan,4019
4,h,,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
3,h,927000,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
3,t,840000,13.5,2,1,303,225,2016,Moonee Valley City Council,Western Metropolitan,3464
3,h,730000,13.5,2,1,0,145,1965,Moonee Valley City Council,Western Metropolitan,3464
3,h,770000,13.5,2,1,0,145,1965,Moonee Valley City Council,Western Metropolitan,3464
3,h,,13.5,1,1,580,114,1960,Moonee Valley City Council,Western Metropolitan,3464
2,h,603000,13.5,1,1,272,84,1950,Moonee Valley City Council,Western Metropolitan,3464
3,t,700000,13.5,2,2,239,134,2009,Moonee Valley City Council,Western Metropolitan,3464
3,h,600000,13.5,1,1,290,116,1980,Moonee Valley City Council,Western Metropolitan,3464
2,u,500000,13.5,1,1,168,86,2011,Moonee Valley City Council,Western Metropolitan,3464
2,t,420000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,t,500000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
5,h,1035000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
4,h,960000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
4,h,960000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,720000,13.5,1,1,620,,,Moonee Valley City Council,Western Metropolitan,3464
4,h,785000,13.5,1,2,597,127,,Moonee Valley City Council,Western Metropolitan,3464
6,h,725000,13.5,3,2,976,186,1980,Moonee Valley City Council,Western Metropolitan,3464
2,t,450000,13.5,1,1,110,90,2015,Moonee Valley City Council,Western Metropolitan,3464
2,u,515000,13.5,1,1,141,73,2013,Moonee Valley City Council,Western Metropolitan,3464
3,h,680000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
2,u,530000,13.5,1,1,120,94,2012,Moonee Valley City Council,Western Metropolitan,3464
3,h,895000,13.5,1,6,1063,133,1975,Moonee Valley City Council,Western Metropolitan,3464
3,u,600000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,805000,13.5,1,1,0,105,1950,Moonee Valley City Council,Western Metropolitan,3464
3,t,760000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,u,752000,13.5,1,1,265,130,1993,Moonee Valley City Council,Western Metropolitan,3464
3,u,580000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,725000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
4,h,758000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
2,u,440000,13.5,1,1,192,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,970000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
5,h,755000,13.5,2,2,596,,,Moonee Valley City Council,Western Metropolitan,3464
4,h,985000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,t,700000,13.5,2,2,165,133,2009,Moonee Valley City Council,Western Metropolitan,3464
2,u,509500,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,830000,13.5,1,2,971,113,1960,Moonee Valley City Council,Western Metropolitan,3464
2,u,462500,13.5,1,1,164,,2003,Moonee Valley City Council,Western Metropolitan,3464
3,h,670000,13.5,2,2,657,,,Moonee Valley City Council,Western Metropolitan,3464
2,h,675000,13.5,1,1,612,100,1975,Moonee Valley City Council,Western Metropolitan,3464
3,h,1042000,13.5,2,5,612,174,1950,Moonee Valley City Council,Western Metropolitan,3464
3,h,910000,13.5,1,1,775,,,Moonee Valley City Council,Western Metropolitan,3464
4,h,773000,13.5,3,4,531,309,1980,Moonee Valley City Council,Western Metropolitan,3464
3,h,715000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,810000,13.5,3,2,555,192,1980,Moonee Valley City Council,Western Metropolitan,3464
3,h,715000,13.5,2,2,422,126,1995,Moonee Valley City Council,Western Metropolitan,3464
3,h,790000,13.5,1,3,614,,,Moonee Valley City Council,Western Metropolitan,3464
2,t,460000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,t,540000,13.5,2,1,161,101,2010,Moonee Valley City Council,Western Metropolitan,3464
3,t,825000,13.5,2,1,293,102,1960,Moonee Valley City Council,Western Metropolitan,3464
3,h,685000,13.5,1,1,579,113,1975,Moonee Valley City Council,Western Metropolitan,3464
3,u,445000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,805000,13.5,1,1,623,,,Moonee Valley City Council,Western Metropolitan,3464
2,u,510000,13.5,1,1,141,76,,Moonee Valley City Council,Western Metropolitan,3464
3,h,612000,13.5,2,1,212,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,662000,13.5,1,2,612,,,Moonee Valley City Council,Western Metropolitan,3464
4,h,978000,13.5,3,2,532,,,Moonee Valley City Council,Western Metropolitan,3464
3,u,,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,720000,13.5,1,1,585,,,Moonee Valley City Council,Western Metropolitan,3464
2,u,474000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
2,t,490000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,405000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,t,715000,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
